Type of Task,Date,Start Time,End Time,Duration (in hours),Year,Month,Month_Name,Day,Day_of_Week,Week_Number,Year_Month,Day_Type,Start_Hour,Start_Minute,Start_Period,Time_Category,End_Hour,Duration_Minutes,Quarter
Data Analyst,2025-06-11,8:02:02 am,8:59:46 am,0.96,2025,6,June,11,Wednesday,24,2025-06,Weekday,8,2,AM,Morning,8,57.599999999999994,2
Data Analyst,2025-06-11,12:07:09 pm,12:41:35 pm,0.57,2025,6,June,11,Wednesday,24,2025-06,Weekday,12,7,PM,Afternoon,12,34.199999999999996,2
Data Analyst,2025-06-11,1:33:35 pm,1:49:17 pm,0.26,2025,6,June,11,Wednesday,24,2025-06,Weekday,13,33,PM,Afternoon,13,15.600000000000001,2
Data Analyst,2025-06-11,2:10:45 pm,2:54:25 pm,0.73,2025,6,June,11,Wednesday,24,2025-06,Weekday,14,10,PM,Afternoon,14,43.8,2
Data Analyst,2025-06-11,3:06:48 pm,4:28:17 pm,1.36,2025,6,June,11,Wednesday,24,2025-06,Weekday,15,6,PM,Afternoon,16,81.60000000000001,2
Data Analyst,2025-06-11,5:03:52 pm,6:55:18 pm,1.86,2025,6,June,11,Wednesday,24,2025-06,Weekday,17,3,PM,Evening,18,111.60000000000001,2
Data Analyst,2025-06-11,9:06:32 pm,10:34:02 pm,1.46,2025,6,June,11,Wednesday,24,2025-06,Weekday,21,6,PM,Night,22,87.6,2
Data Analyst,2025-06-12,8:00:35 am,8:24:36 am,0.4,2025,6,June,12,Thursday,24,2025-06,Weekday,8,0,AM,Morning,8,24.0,2
Data Analyst,2025-06-12,12:01:12 pm,1:06:19 pm,1.09,2025,6,June,12,Thursday,24,2025-06,Weekday,12,1,PM,Afternoon,13,65.4,2
Data Analyst,2025-06-12,5:35:30 pm,6:08:03 pm,0.54,2025,6,June,12,Thursday,24,2025-06,Weekday,17,35,PM,Evening,18,32.400000000000006,2
Data Analyst,2025-06-12,6:47:49 pm,8:12:59 pm,1.42,2025,6,June,12,Thursday,24,2025-06,Weekday,18,47,PM,Evening,20,85.19999999999999,2
Data Analyst,2025-06-12,8:42:32 pm,1:00:22 am,4.3,2025,6,June,12,Thursday,24,2025-06,Weekday,20,42,PM,Evening,1,258.0,2
Data Analyst,2025-06-13,9:26:29 am,11:44:20 am,2.3,2025,6,June,13,Friday,24,2025-06,Weekday,9,26,AM,Morning,11,138.0,2
Data Analyst,2025-06-13,12:54:02 pm,1:41:21 pm,0.79,2025,6,June,13,Friday,24,2025-06,Weekday,12,54,PM,Afternoon,13,47.400000000000006,2
Data Analyst,2025-06-13,3:17:06 pm,4:47:59 pm,1.51,2025,6,June,13,Friday,24,2025-06,Weekday,15,17,PM,Afternoon,16,90.6,2
Data Analyst,2025-06-13,6:05:13 pm,6:30:05 pm,0.41,2025,6,June,13,Friday,24,2025-06,Weekday,18,5,PM,Evening,18,24.599999999999998,2
Data Analyst,2025-06-13,6:43:17 pm,9:18:00 pm,2.58,2025,6,June,13,Friday,24,2025-06,Weekday,18,43,PM,Evening,21,154.8,2
Data Analyst,2025-06-13,10:19:04 pm,11:59:06 pm,1.67,2025,6,June,13,Friday,24,2025-06,Weekday,22,19,PM,Night,23,100.19999999999999,2
Data Analyst,2025-06-14,8:14:39 am,9:08:17 am,0.89,2025,6,June,14,Saturday,24,2025-06,Weekend,8,14,AM,Morning,9,53.4,2
Data Analyst,2025-06-14,9:23:51 am,11:29:03 am,2.09,2025,6,June,14,Saturday,24,2025-06,Weekend,9,23,AM,Morning,11,125.39999999999999,2
Data Analyst,2025-06-14,4:28:21 pm,5:22:55 pm,0.91,2025,6,June,14,Saturday,24,2025-06,Weekend,16,28,PM,Afternoon,17,54.6,2
Data Analyst,2025-06-14,5:32:52 pm,6:52:47 pm,1.33,2025,6,June,14,Saturday,24,2025-06,Weekend,17,32,PM,Evening,18,79.80000000000001,2
Data Analyst,2025-06-14,7:32:23 pm,7:44:49 pm,0.21,2025,6,June,14,Saturday,24,2025-06,Weekend,19,32,PM,Evening,19,12.6,2
Data Analyst,2025-06-14,9:04:57 pm,10:57:54 pm,1.88,2025,6,June,14,Saturday,24,2025-06,Weekend,21,4,PM,Night,22,112.8,2
Machine Learning,2025-06-15,7:35:55 am,8:09:41 am,0.56,2025,6,June,15,Sunday,24,2025-06,Weekend,7,35,AM,Morning,8,33.6,2
Data Analyst,2025-06-15,8:10:51 am,9:15:54 am,1.08,2025,6,June,15,Sunday,24,2025-06,Weekend,8,10,AM,Morning,9,64.80000000000001,2
Data Analyst,2025-06-15,11:38:21 am,12:13:52 pm,0.59,2025,6,June,15,Sunday,24,2025-06,Weekend,11,38,AM,Morning,12,35.4,2
Data Analyst,2025-06-15,12:37:26 pm,2:05:39 pm,1.47,2025,6,June,15,Sunday,24,2025-06,Weekend,12,37,PM,Afternoon,14,88.2,2
Data Analyst,2025-06-15,10:32:35 pm,10:42:14 pm,0.16,2025,6,June,15,Sunday,24,2025-06,Weekend,22,32,PM,Night,22,9.6,2
Data Analyst,2025-06-16,7:20:41 am,9:09:00 am,1.81,2025,6,June,16,Monday,25,2025-06,Weekday,7,20,AM,Morning,9,108.60000000000001,2
Data Analyst,2025-06-16,2:14:43 pm,2:45:02 pm,0.51,2025,6,June,16,Monday,25,2025-06,Weekday,14,14,PM,Afternoon,14,30.6,2
Data Analyst,2025-06-16,6:08:04 pm,6:48:07 pm,0.67,2025,6,June,16,Monday,25,2025-06,Weekday,18,8,PM,Evening,18,40.2,2
Data Analyst,2025-06-16,7:32:28 pm,10:34:52 pm,3.04,2025,6,June,16,Monday,25,2025-06,Weekday,19,32,PM,Evening,22,182.4,2
Data Analyst,2025-06-17,10:35:36 am,11:21:00 am,0.76,2025,6,June,17,Tuesday,25,2025-06,Weekday,10,35,AM,Morning,11,45.6,2
Data Analyst,2025-06-17,1:46:53 pm,3:09:11 pm,1.37,2025,6,June,17,Tuesday,25,2025-06,Weekday,13,46,PM,Afternoon,15,82.2,2
Data Analyst,2025-06-17,3:50:08 pm,6:24:17 pm,2.57,2025,6,June,17,Tuesday,25,2025-06,Weekday,15,50,PM,Afternoon,18,154.2,2
Data Analyst,2025-06-17,7:41:45 pm,8:18:43 pm,0.62,2025,6,June,17,Tuesday,25,2025-06,Weekday,19,41,PM,Evening,20,37.2,2
Data Analyst,2025-06-17,8:26:44 pm,9:48:25 pm,1.36,2025,6,June,17,Tuesday,25,2025-06,Weekday,20,26,PM,Evening,21,81.60000000000001,2
Data Analyst,2025-06-17,11:57:53 pm,12:12:54 am,0.25,2025,6,June,17,Tuesday,25,2025-06,Weekday,23,57,PM,Night,0,15.0,2
Data Analyst,2025-06-18,12:43:11 am,1:51:47 am,1.14,2025,6,June,18,Wednesday,25,2025-06,Weekday,0,43,AM,Night,1,68.39999999999999,2
Data Analyst,2025-06-18,10:34:06 am,12:21:06 pm,1.78,2025,6,June,18,Wednesday,25,2025-06,Weekday,10,34,AM,Morning,12,106.8,2
Data Analyst,2025-06-18,5:05:18 pm,5:13:40 pm,0.14,2025,6,June,18,Wednesday,25,2025-06,Weekday,17,5,PM,Evening,17,8.4,2
Data Analyst,2025-06-18,5:36:03 pm,6:36:24 pm,1.01,2025,6,June,18,Wednesday,25,2025-06,Weekday,17,36,PM,Evening,18,60.6,2
Data Analyst,2025-06-18,10:14:41 pm,10:28:36 pm,0.23,2025,6,June,18,Wednesday,25,2025-06,Weekday,22,14,PM,Night,22,13.8,2
Data Analyst,2025-06-18,10:53:00 pm,12:12:01 am,1.32,2025,6,June,18,Wednesday,25,2025-06,Weekday,22,53,PM,Night,0,79.2,2
Data Analyst,2025-06-19,9:58:44 am,12:14:49 pm,2.27,2025,6,June,19,Thursday,25,2025-06,Weekday,9,58,AM,Morning,12,136.2,2
Data Analyst,2025-06-19,2:50:31 pm,4:29:34 pm,1.65,2025,6,June,19,Thursday,25,2025-06,Weekday,14,50,PM,Afternoon,16,99.0,2
Data Analyst,2025-06-19,5:37:20 pm,6:21:32 pm,0.74,2025,6,June,19,Thursday,25,2025-06,Weekday,17,37,PM,Evening,18,44.4,2
Data Analyst,2025-06-19,8:36:37 pm,9:55:24 pm,1.31,2025,6,June,19,Thursday,25,2025-06,Weekday,20,36,PM,Evening,21,78.60000000000001,2
Data Analyst,2025-06-19,10:04:10 pm,12:03:46 am,1.99,2025,6,June,19,Thursday,25,2025-06,Weekday,22,4,PM,Night,0,119.4,2
Data Analyst,2025-06-20,12:03:58 am,2:32:22 am,2.47,2025,6,June,20,Friday,25,2025-06,Weekday,0,3,AM,Night,2,148.20000000000002,2
Data Analyst,2025-06-20,2:38:52 pm,5:03:23 pm,2.41,2025,6,June,20,Friday,25,2025-06,Weekday,14,38,PM,Afternoon,17,144.60000000000002,2
Data Analyst,2025-06-20,5:49:48 pm,5:51:15 pm,0.02,2025,6,June,20,Friday,25,2025-06,Weekday,17,49,PM,Evening,17,1.2,2
Data Analyst,2025-06-20,6:22:53 pm,7:25:58 pm,1.05,2025,6,June,20,Friday,25,2025-06,Weekday,18,22,PM,Evening,19,63.0,2
Data Analyst,2025-06-20,7:40:59 pm,9:08:41 pm,1.46,2025,6,June,20,Friday,25,2025-06,Weekday,19,40,PM,Evening,21,87.6,2
Data Analyst,2025-06-20,11:23:39 pm,12:00:21 am,0.61,2025,6,June,20,Friday,25,2025-06,Weekday,23,23,PM,Night,0,36.6,2
Data Analyst,2025-06-21,12:00:26 am,2:21:44 am,2.35,2025,6,June,21,Saturday,25,2025-06,Weekend,0,0,AM,Night,2,141.0,2
Data Analyst,2025-06-21,4:19:27 pm,6:37:26 pm,2.3,2025,6,June,21,Saturday,25,2025-06,Weekend,16,19,PM,Afternoon,18,138.0,2
Data Analyst,2025-06-21,9:44:48 pm,12:07:39 am,2.38,2025,6,June,21,Saturday,25,2025-06,Weekend,21,44,PM,Night,0,142.79999999999998,2
Data Analyst,2025-06-22,1:15:53 am,1:36:07 am,0.34,2025,6,June,22,Sunday,25,2025-06,Weekend,1,15,AM,Night,1,20.400000000000002,2
Data Analyst,2025-06-22,11:23:43 am,12:11:26 pm,0.8,2025,6,June,22,Sunday,25,2025-06,Weekend,11,23,AM,Morning,12,48.0,2
Data Analyst,2025-06-22,1:51:33 pm,6:26:33 pm,4.58,2025,6,June,22,Sunday,25,2025-06,Weekend,13,51,PM,Afternoon,18,274.8,2
Data Analyst,2025-06-22,9:33:46 pm,12:27:22 am,2.89,2025,6,June,22,Sunday,25,2025-06,Weekend,21,33,PM,Night,0,173.4,2
Data Analyst,2025-06-23,1:28:23 am,3:56:06 am,2.46,2025,6,June,23,Monday,26,2025-06,Weekday,1,28,AM,Night,3,147.6,2
Data Analyst,2025-06-23,1:42:47 pm,3:50:59 pm,2.14,2025,6,June,23,Monday,26,2025-06,Weekday,13,42,PM,Afternoon,15,128.4,2
Data Analyst,2025-06-23,5:54:10 pm,7:04:25 pm,1.17,2025,6,June,23,Monday,26,2025-06,Weekday,17,54,PM,Evening,19,70.19999999999999,2
Data Analyst,2025-06-23,7:25:03 pm,10:30:55 pm,3.1,2025,6,June,23,Monday,26,2025-06,Weekday,19,25,PM,Evening,22,186.0,2
Data Analyst,2025-06-23,10:39:24 pm,11:53:05 pm,1.23,2025,6,June,23,Monday,26,2025-06,Weekday,22,39,PM,Night,23,73.8,2
Data Analyst,2025-06-24,1:35:00 am,2:29:18 am,0.91,2025,6,June,24,Tuesday,26,2025-06,Weekday,1,35,AM,Night,2,54.6,2
Data Analyst,2025-06-24,3:41:54 pm,4:55:25 pm,1.23,2025,6,June,24,Tuesday,26,2025-06,Weekday,15,41,PM,Afternoon,16,73.8,2
Data Analyst,2025-06-24,8:15:55 pm,12:08:06 am,3.87,2025,6,June,24,Tuesday,26,2025-06,Weekday,20,15,PM,Evening,0,232.20000000000002,2
Data Analyst,2025-06-25,12:08:17 am,1:41:25 am,1.55,2025,6,June,25,Wednesday,26,2025-06,Weekday,0,8,AM,Night,1,93.0,2
Data Analyst,2025-06-25,12:25:59 pm,12:51:54 pm,0.43,2025,6,June,25,Wednesday,26,2025-06,Weekday,12,25,PM,Afternoon,12,25.8,2
Data Analyst,2025-06-25,4:05:37 pm,5:45:39 pm,1.67,2025,6,June,25,Wednesday,26,2025-06,Weekday,16,5,PM,Afternoon,17,100.19999999999999,2
Data Analyst,2025-06-25,9:07:25 pm,12:01:02 am,2.89,2025,6,June,25,Wednesday,26,2025-06,Weekday,21,7,PM,Night,0,173.4,2
Data Analyst,2025-06-26,12:01:11 am,1:27:33 am,1.44,2025,6,June,26,Thursday,26,2025-06,Weekday,0,1,AM,Night,1,86.39999999999999,2
Data Analyst,2025-06-26,10:01:49 am,10:10:30 am,0.14,2025,6,June,26,Thursday,26,2025-06,Weekday,10,1,AM,Morning,10,8.4,2
Data Analyst,2025-06-26,10:22:06 am,11:24:53 am,1.05,2025,6,June,26,Thursday,26,2025-06,Weekday,10,22,AM,Morning,11,63.0,2
Data Analyst,2025-06-26,4:29:37 pm,8:00:05 pm,3.51,2025,6,June,26,Thursday,26,2025-06,Weekday,16,29,PM,Afternoon,20,210.6,2
Data Analyst,2025-06-26,11:41:04 pm,12:01:37 am,0.34,2025,6,June,26,Thursday,26,2025-06,Weekday,23,41,PM,Night,0,20.400000000000002,2
Data Analyst,2025-06-27,12:01:40 am,3:24:41 am,3.38,2025,6,June,27,Friday,26,2025-06,Weekday,0,1,AM,Night,3,202.79999999999998,2
Data Analyst,2025-06-27,10:43:44 am,11:09:19 am,0.43,2025,6,June,27,Friday,26,2025-06,Weekday,10,43,AM,Morning,11,25.8,2
Data Analyst,2025-06-27,11:18:10 am,12:05:22 pm,0.79,2025,6,June,27,Friday,26,2025-06,Weekday,11,18,AM,Morning,12,47.400000000000006,2
Data Analyst,2025-06-27,1:38:16 pm,3:05:11 pm,1.45,2025,6,June,27,Friday,26,2025-06,Weekday,13,38,PM,Afternoon,15,87.0,2
Data Analyst,2025-06-27,4:58:23 pm,5:58:14 pm,1.0,2025,6,June,27,Friday,26,2025-06,Weekday,16,58,PM,Afternoon,17,60.0,2
Data Analyst,2025-06-27,11:13:16 pm,12:02:24 am,0.82,2025,6,June,27,Friday,26,2025-06,Weekday,23,13,PM,Night,0,49.199999999999996,2
Data Analyst,2025-06-28,12:02:31 am,2:31:42 am,2.49,2025,6,June,28,Saturday,26,2025-06,Weekend,0,2,AM,Night,2,149.4,2
Data Analyst,2025-06-28,2:46:14 am,3:21:14 am,0.58,2025,6,June,28,Saturday,26,2025-06,Weekend,2,46,AM,Night,3,34.8,2
Data Analyst,2025-06-28,5:11:29 pm,6:13:05 pm,1.03,2025,6,June,28,Saturday,26,2025-06,Weekend,17,11,PM,Evening,18,61.800000000000004,2
Data Analyst,2025-06-28,6:29:16 pm,7:03:20 pm,0.57,2025,6,June,28,Saturday,26,2025-06,Weekend,18,29,PM,Evening,19,34.199999999999996,2
Data Analyst,2025-06-28,7:15:45 pm,7:19:17 pm,0.06,2025,6,June,28,Saturday,26,2025-06,Weekend,19,15,PM,Evening,19,3.5999999999999996,2
Data Analyst,2025-06-28,8:21:48 pm,8:25:31 pm,0.06,2025,6,June,28,Saturday,26,2025-06,Weekend,20,21,PM,Evening,20,3.5999999999999996,2
Data Analyst,2025-06-28,9:24:46 pm,9:39:28 pm,0.24,2025,6,June,28,Saturday,26,2025-06,Weekend,21,24,PM,Night,21,14.399999999999999,2
Data Analyst,2025-06-28,11:26:20 pm,11:57:41 pm,0.52,2025,6,June,28,Saturday,26,2025-06,Weekend,23,26,PM,Night,23,31.200000000000003,2
Data Analyst,2025-06-29,12:08:15 am,1:17:51 am,1.16,2025,6,June,29,Sunday,26,2025-06,Weekend,0,8,AM,Night,1,69.6,2
Data Analyst,2025-06-29,5:50:57 am,8:26:31 am,2.59,2025,6,June,29,Sunday,26,2025-06,Weekend,5,50,AM,Morning,8,155.39999999999998,2
Data Analyst,2025-06-29,4:19:23 pm,6:50:03 pm,2.51,2025,6,June,29,Sunday,26,2025-06,Weekend,16,19,PM,Afternoon,18,150.6,2
Data Analyst,2025-06-29,8:42:13 pm,11:02:55 pm,2.35,2025,6,June,29,Sunday,26,2025-06,Weekend,20,42,PM,Evening,23,141.0,2
Data Analyst,2025-06-30,1:33:26 am,2:37:20 am,1.06,2025,6,June,30,Monday,27,2025-06,Weekday,1,33,AM,Night,2,63.6,2
Data Analyst,2025-06-30,4:42:02 pm,6:47:52 pm,2.1,2025,6,June,30,Monday,27,2025-06,Weekday,16,42,PM,Afternoon,18,126.0,2
Data Analyst,2025-06-30,8:47:05 pm,10:56:53 pm,2.16,2025,6,June,30,Monday,27,2025-06,Weekday,20,47,PM,Evening,22,129.60000000000002,2
Data Analyst,2025-07-01,3:02:13 am,4:28:26 am,1.44,2025,7,July,1,Tuesday,27,2025-07,Weekday,3,2,AM,Night,4,86.39999999999999,3
Data Analyst,2025-07-01,6:24:31 am,6:58:06 am,0.56,2025,7,July,1,Tuesday,27,2025-07,Weekday,6,24,AM,Morning,6,33.6,3
Data Analyst,2025-07-01,1:52:49 pm,2:57:58 pm,1.09,2025,7,July,1,Tuesday,27,2025-07,Weekday,13,52,PM,Afternoon,14,65.4,3
Data Analyst,2025-07-01,4:52:36 pm,7:27:21 pm,2.58,2025,7,July,1,Tuesday,27,2025-07,Weekday,16,52,PM,Afternoon,19,154.8,3
Data Analyst,2025-07-01,8:34:47 pm,12:09:42 am,3.58,2025,7,July,1,Tuesday,27,2025-07,Weekday,20,34,PM,Evening,0,214.8,3
Data Analyst,2025-07-02,12:10:02 am,12:35:24 am,0.42,2025,7,July,2,Wednesday,27,2025-07,Weekday,0,10,AM,Night,0,25.2,3
Data Analyst,2025-07-02,6:33:01 pm,6:55:37 pm,0.38,2025,7,July,2,Wednesday,27,2025-07,Weekday,18,33,PM,Evening,18,22.8,3
Data Analyst,2025-07-02,7:40:55 pm,8:06:09 pm,0.42,2025,7,July,2,Wednesday,27,2025-07,Weekday,19,40,PM,Evening,20,25.2,3
Data Analyst,2025-07-02,9:49:28 pm,9:58:13 pm,0.15,2025,7,July,2,Wednesday,27,2025-07,Weekday,21,49,PM,Night,21,9.0,3
Data Analyst,2025-07-03,4:13:21 pm,4:29:51 pm,0.28,2025,7,July,3,Thursday,27,2025-07,Weekday,16,13,PM,Afternoon,16,16.8,3
Data Analyst,2025-07-03,6:59:03 pm,7:48:09 pm,0.82,2025,7,July,3,Thursday,27,2025-07,Weekday,18,59,PM,Evening,19,49.199999999999996,3
Data Analyst,2025-07-03,9:43:38 pm,12:06:45 am,2.39,2025,7,July,3,Thursday,27,2025-07,Weekday,21,43,PM,Night,0,143.4,3
Data Analyst,2025-07-04,12:07:48 am,12:48:32 am,0.68,2025,7,July,4,Friday,27,2025-07,Weekday,0,7,AM,Night,0,40.800000000000004,3
Data Analyst,2025-07-04,6:30:27 am,7:55:40 am,1.42,2025,7,July,4,Friday,27,2025-07,Weekday,6,30,AM,Morning,7,85.19999999999999,3
Data Analyst,2025-07-04,8:45:57 pm,12:09:20 am,3.39,2025,7,July,4,Friday,27,2025-07,Weekday,20,45,PM,Evening,0,203.4,3
Data Analyst,2025-07-05,12:09:25 am,12:32:36 am,0.39,2025,7,July,5,Saturday,27,2025-07,Weekend,0,9,AM,Night,0,23.400000000000002,3
Data Analyst,2025-07-05,1:54:31 am,4:16:02 am,2.36,2025,7,July,5,Saturday,27,2025-07,Weekend,1,54,AM,Night,4,141.6,3
Data Analyst,2025-07-05,4:51:15 am,7:07:42 am,2.27,2025,7,July,5,Saturday,27,2025-07,Weekend,4,51,AM,Night,7,136.2,3
Data Analyst,2025-07-05,6:21:15 pm,7:59:22 pm,1.64,2025,7,July,5,Saturday,27,2025-07,Weekend,18,21,PM,Evening,19,98.39999999999999,3
Data Analyst,2025-07-05,9:01:54 pm,10:47:32 pm,1.76,2025,7,July,5,Saturday,27,2025-07,Weekend,21,1,PM,Night,22,105.6,3
Data Analyst,2025-07-05,11:05:08 pm,11:30:27 pm,0.42,2025,7,July,5,Saturday,27,2025-07,Weekend,23,5,PM,Night,23,25.2,3
Data Analyst,2025-07-06,12:00:59 am,12:24:35 am,0.39,2025,7,July,6,Sunday,27,2025-07,Weekend,0,0,AM,Night,0,23.400000000000002,3
Data Analyst,2025-07-06,2:28:01 am,7:48:57 am,5.35,2025,7,July,6,Sunday,27,2025-07,Weekend,2,28,AM,Night,7,321.0,3
Data Analyst,2025-07-07,12:48:55 am,4:37:29 am,3.81,2025,7,July,7,Monday,28,2025-07,Weekday,0,48,AM,Night,4,228.6,3
Data Analyst,2025-07-07,7:02:58 am,8:50:48 am,1.8,2025,7,July,7,Monday,28,2025-07,Weekday,7,2,AM,Morning,8,108.0,3
Data Analyst,2025-07-07,7:08:55 pm,7:51:13 pm,0.7,2025,7,July,7,Monday,28,2025-07,Weekday,19,8,PM,Evening,19,42.0,3
Data Analyst,2025-07-07,8:59:19 pm,9:04:35 pm,0.09,2025,7,July,7,Monday,28,2025-07,Weekday,20,59,PM,Evening,21,5.3999999999999995,3
Data Analyst,2025-07-07,9:23:20 pm,12:04:09 am,2.68,2025,7,July,7,Monday,28,2025-07,Weekday,21,23,PM,Night,0,160.8,3
Data Analyst,2025-07-08,12:04:16 am,1:37:01 am,1.55,2025,7,July,8,Tuesday,28,2025-07,Weekday,0,4,AM,Night,1,93.0,3
Data Analyst,2025-07-08,3:31:54 pm,4:36:40 pm,1.08,2025,7,July,8,Tuesday,28,2025-07,Weekday,15,31,PM,Afternoon,16,64.80000000000001,3
Data Analyst,2025-07-08,9:52:21 pm,12:29:57 am,2.63,2025,7,July,8,Tuesday,28,2025-07,Weekday,21,52,PM,Night,0,157.79999999999998,3
Data Analyst,2025-07-09,12:30:01 am,3:01:40 am,2.53,2025,7,July,9,Wednesday,28,2025-07,Weekday,0,30,AM,Night,3,151.79999999999998,3
Data Analyst,2025-07-09,4:54:49 am,6:12:20 am,1.29,2025,7,July,9,Wednesday,28,2025-07,Weekday,4,54,AM,Night,6,77.4,3
Data Analyst,2025-07-09,7:42:34 am,9:08:42 am,1.44,2025,7,July,9,Wednesday,28,2025-07,Weekday,7,42,AM,Morning,9,86.39999999999999,3
Data Analyst,2025-07-09,5:48:38 pm,6:18:48 pm,0.5,2025,7,July,9,Wednesday,28,2025-07,Weekday,17,48,PM,Evening,18,30.0,3
Data Analyst,2025-07-09,6:50:32 pm,7:24:34 pm,0.57,2025,7,July,9,Wednesday,28,2025-07,Weekday,18,50,PM,Evening,19,34.199999999999996,3
Data Analyst,2025-07-09,9:48:24 pm,12:00:07 am,2.2,2025,7,July,9,Wednesday,28,2025-07,Weekday,21,48,PM,Night,0,132.0,3
Data Analyst,2025-07-10,12:00:20 am,1:54:19 am,1.9,2025,7,July,10,Thursday,28,2025-07,Weekday,0,0,AM,Night,1,114.0,3
Data Analyst,2025-07-10,5:51:14 am,8:19:45 am,2.48,2025,7,July,10,Thursday,28,2025-07,Weekday,5,51,AM,Morning,8,148.8,3
Artificial Intelligence,2025-07-10,5:28:45 pm,7:15:57 pm,1.79,2025,7,July,10,Thursday,28,2025-07,Weekday,17,28,PM,Evening,19,107.4,3
Artificial Intelligence,2025-07-10,8:26:31 pm,9:05:10 pm,0.64,2025,7,July,10,Thursday,28,2025-07,Weekday,20,26,PM,Evening,21,38.4,3
Data Analyst,2025-07-10,9:20:42 pm,9:59:32 pm,0.65,2025,7,July,10,Thursday,28,2025-07,Weekday,21,20,PM,Night,21,39.0,3
Data Analyst,2025-07-11,5:05:45 am,8:15:05 am,3.16,2025,7,July,11,Friday,28,2025-07,Weekday,5,5,AM,Morning,8,189.60000000000002,3
Data Analyst,2025-07-11,8:48:15 am,10:14:13 am,1.43,2025,7,July,11,Friday,28,2025-07,Weekday,8,48,AM,Morning,10,85.8,3
Data Analyst,2025-07-11,11:29:11 pm,12:58:56 am,1.5,2025,7,July,11,Friday,28,2025-07,Weekday,23,29,PM,Night,0,90.0,3
Data Analyst,2025-07-12,12:59:00 am,2:57:53 am,1.98,2025,7,July,12,Saturday,28,2025-07,Weekend,0,59,AM,Night,2,118.8,3
Data Analyst,2025-07-12,6:14:17 am,10:19:37 am,4.09,2025,7,July,12,Saturday,28,2025-07,Weekend,6,14,AM,Morning,10,245.39999999999998,3
Data Analyst,2025-07-12,6:59:08 pm,7:20:05 pm,0.35,2025,7,July,12,Saturday,28,2025-07,Weekend,18,59,PM,Evening,19,21.0,3
Data Analyst,2025-07-12,7:37:43 pm,10:30:01 pm,2.87,2025,7,July,12,Saturday,28,2025-07,Weekend,19,37,PM,Evening,22,172.20000000000002,3
Data Analyst,2025-07-13,1:27:56 am,2:01:32 am,0.56,2025,7,July,13,Sunday,28,2025-07,Weekend,1,27,AM,Night,2,33.6,3
Data Analyst,2025-07-13,2:01:59 am,2:26:53 am,0.41,2025,7,July,13,Sunday,28,2025-07,Weekend,2,1,AM,Night,2,24.599999999999998,3
Data Analyst,2025-07-13,6:47:35 am,10:07:36 am,3.33,2025,7,July,13,Sunday,28,2025-07,Weekend,6,47,AM,Morning,10,199.8,3
Data Analyst,2025-07-14,2:31:29 am,4:08:34 am,1.62,2025,7,July,14,Monday,29,2025-07,Weekday,2,31,AM,Night,4,97.2,3
Data Analyst,2025-07-14,5:42:50 am,7:11:40 am,1.48,2025,7,July,14,Monday,29,2025-07,Weekday,5,42,AM,Morning,7,88.8,3
Data Analyst,2025-07-14,10:12:47 am,12:06:17 pm,1.89,2025,7,July,14,Monday,29,2025-07,Weekday,10,12,AM,Morning,12,113.39999999999999,3
Data Analyst,2025-07-15,8:14:40 am,12:10:19 pm,3.93,2025,7,July,15,Tuesday,29,2025-07,Weekday,8,14,AM,Morning,12,235.8,3
Data Analyst,2025-07-16,1:59:25 am,5:07:41 am,3.14,2025,7,July,16,Wednesday,29,2025-07,Weekday,1,59,AM,Night,5,188.4,3
Data Analyst,2025-07-16,8:15:35 am,8:45:13 am,0.49,2025,7,July,16,Wednesday,29,2025-07,Weekday,8,15,AM,Morning,8,29.4,3
Data Analyst,2025-07-17,6:10:14 am,6:35:50 am,0.43,2025,7,July,17,Thursday,29,2025-07,Weekday,6,10,AM,Morning,6,25.8,3
Data Analyst,2025-07-17,7:32:48 am,8:04:15 am,0.52,2025,7,July,17,Thursday,29,2025-07,Weekday,7,32,AM,Morning,8,31.200000000000003,3
Data Analyst,2025-07-17,8:27:11 am,10:48:37 am,2.36,2025,7,July,17,Thursday,29,2025-07,Weekday,8,27,AM,Morning,10,141.6,3
Data Analyst,2025-07-17,2:55:33 pm,4:38:43 pm,1.72,2025,7,July,17,Thursday,29,2025-07,Weekday,14,55,PM,Afternoon,16,103.2,3
Data Analyst,2025-07-17,6:22:42 pm,6:57:39 pm,0.58,2025,7,July,17,Thursday,29,2025-07,Weekday,18,22,PM,Evening,18,34.8,3
Data Analyst,2025-07-17,7:08:12 pm,8:44:16 pm,1.6,2025,7,July,17,Thursday,29,2025-07,Weekday,19,8,PM,Evening,20,96.0,3
Data Analyst,2025-07-18,6:56:09 am,10:32:09 am,3.6,2025,7,July,18,Friday,29,2025-07,Weekday,6,56,AM,Morning,10,216.0,3
Data Analyst,2025-07-18,11:03:25 am,12:08:28 pm,1.08,2025,7,July,18,Friday,29,2025-07,Weekday,11,3,AM,Morning,12,64.80000000000001,3
Data Analyst,2025-07-18,1:19:04 pm,2:47:57 pm,1.48,2025,7,July,18,Friday,29,2025-07,Weekday,13,19,PM,Afternoon,14,88.8,3
Data Analyst,2025-07-19,4:21:21 am,5:49:55 am,1.48,2025,7,July,19,Saturday,29,2025-07,Weekend,4,21,AM,Night,5,88.8,3
Data Analyst,2025-07-19,6:18:28 am,8:56:09 am,2.63,2025,7,July,19,Saturday,29,2025-07,Weekend,6,18,AM,Morning,8,157.79999999999998,3
